delivery_date,weight,vehicle_size,billed_miles,total,pickup_state,deliver_state,duration_hours,rpm,predicted_cost,predicted_rpm,error,label
2023-01-06,410,CARGO VAN,1615.0,1495.0,MI,TX,48,0.9256965944272446,1500.3794932309645,0.9290275499882132,0.0,1
2023-01-06,42000,TRACTOR,1217.0,4600.0,IN,TX,60,3.7797863599013968,4574.217604573467,3.7586011541277458,-0.02,-1
2023-01-06,9085,TRACTOR,2290.0,4950.0,EM,MI,69,2.1615720524017465,7067.525419788441,3.086255641829013,0.92,10
2023-01-06,1632,DOCK HIGH STRAIGHT,1604.0,2650.0,TX,MI,37,1.6521197007481296,2794.011860063045,1.741902655899654,0.09,1
2023-01-05,150,CARGO VAN,1537.0,1425.0,MI,TX,45,0.9271307742355236,1697.549172006297,1.104456195189523,0.18,2
2023-01-06,2900,TRACTOR,1680.0,7675.0,QA,AL,53,4.568452380952381,7324.660463290116,4.359916942434593,-0.21,-3
2023-01-05,1060,SPRINTER,1814.0,2098.79,TX,OH,38,1.1569955898566704,2569.3633349624656,1.4164075716441376,0.26,3
2023-01-05,1790,CUBE VAN,1559.0,3388.9,TX,OH,39,2.173765234124439,3083.9661512487382,1.9781694363365865,-0.2,-3
2023-01-06,1500,DOCK HIGH STRAIGHT,1086.0,2550.0,IL,TX,47,2.348066298342541,2580.6700808054457,2.376307625051055,0.03,1
2023-01-06,1780,CARGO VAN,1767.0,2900.0,DF,TN,52,1.6411997736276174,3067.335817061622,1.7359002926211784,0.09,1
2023-01-09,2064,CARGO VAN,1161.0,1300.0,TN,TX,66,1.119724375538329,1194.794972100759,1.0291085031014289,-0.09,-1
2023-01-05,350,SPRINTER,1709.0,2134.87,TX,MI,38,1.2491925102399064,2125.3146759676856,1.2436013317540582,-0.01,-1
2023-01-06,1717,CUBE VAN,892.0,1840.0,TX,TN,28,2.062780269058296,2511.0480478484824,2.815076286825653,0.75,8
2023-01-05,1880,SPRINTER,1640.0,1700.0,TX,MI,39,1.0365853658536586,2104.361968527456,1.2831475417850342,0.25,3
2023-01-09,10000,TRACTOR,373.0,1147.0,IN,TN,68,3.0750670241286864,1984.1759104684857,5.319506462381999,2.24,23
2023-01-05,1740,CUBE VAN,1160.0,3000.0,TX,TN,37,2.586206896551724,2519.0850245777983,2.171625021187757,-0.41,-5
2023-01-06,1896,CUBE VAN,1166.0,2900.0,TN,TX,28,2.4871355060034306,2867.051223563702,2.4588775502261595,-0.03,-1
2023-01-06,5000,TRACTOR,1693.0,3925.0,VA,TX,48,2.318369757826344,4241.252826761208,2.5051700099003,0.19,2
2023-01-06,365,CARGO VAN,1455.0,1650.0,WI,TX,46,1.134020618556701,1883.7317286871887,1.2946609819155936,0.16,2
2023-01-05,28000,TRACTOR,722.0,1800.0,TN,NC,22,2.4930747922437675,3014.9653268675206,4.175852253279114,1.68,17
2023-01-06,22,CARGO VAN,1817.0,3000.0,CA,TX,45,1.651073197578426,2612.193572442643,1.4376409314488954,-0.21,-3
2023-01-06,1350,DOCK HIGH STRAIGHT,1643.0,2650.0,MI,TX,45,1.6129032258064515,2509.8011435621283,1.5275722115411614,-0.09,-1
2023-01-06,5435,TRACTOR,1650.0,5163.38,TX,MI,45,3.129321212121212,3887.072969475968,2.355801799682405,-0.77,-8
2023-01-06,1538,CARGO VAN,1683.0,1750.0,PA,TX,46,1.0398098633392752,1700.6899650128655,1.0105109714871452,-0.03,-1
2023-01-06,120,CARGO VAN,1612.0,1674.25,OH,TX,47,1.0386166253101736,1515.5975531017668,0.9401969932393096,-0.1,-2
2023-01-06,3347,CUBE VAN,1779.0,3600.0,PA,TX,45,2.023608768971332,3065.846593711869,1.7233539031545078,-0.3,-4
2023-01-06,500,CARGO VAN,1724.0,1944.59,TX,MI,38,1.1279524361948956,2141.558864673584,1.2422035177921025,0.11,2
2023-01-06,25867,TRACTOR,1464.0,5300.0,IN,TX,35,3.620218579234973,5508.28264020964,3.7624881422196994,0.14,2
2023-01-05,39000,TRACTOR,689.0,4100.0,KY,ON,23,5.950653120464441,4198.107898730504,6.093044845762705,0.14,2
2023-01-05,30,CARGO VAN,1184.0,1420.0,MI,TX,20,1.1993243243243243,1709.4833285065667,1.4438203788062218,0.24,3
2023-01-06,715,CARGO VAN,1709.0,2023.32,TX,MI,38,1.183920421299005,2069.523916668234,1.2109560659264096,0.03,1
2023-01-05,550,SPRINTER,553.0,1150.0,TX,GJ,16,2.079566003616637,1062.942355954404,1.9221380758669149,-0.16,-2
2023-01-06,115,CARGO VAN,1511.0,1650.0,CA,TX,40,1.0919920582395763,1975.092594882543,1.3071426835754751,0.22,3
2023-01-10,371,SPRINTER,1618.0,1640.59,TX,MI,46,1.0139616810877623,1989.2981497514145,1.2294796970033464,0.22,3
2023-01-05,107,SPRINTER,1239.0,1996.46,CO,MI,29,1.6113478611783696,1842.1031361816013,1.4867660501869262,-0.12,-2
2023-01-05,2500,CARGO VAN,367.0,1500.0,OH,KY,7,4.087193460490464,940.1167452465112,2.5616260088460794,-1.53,-16
2023-01-09,1250,SPRINTER,1478.0,1989.0,TX,OH,60,1.3457374830852504,2177.797834239764,1.4734762071987575,0.13,2
2023-01-06,19842,TRACTOR,1642.0,5200.0,MI,TX,31,3.166869671132765,5445.584319341128,3.316433812022612,0.15,2
2023-01-10,1100,SPRINTER,1559.0,5105.1,TX,OH,70,3.2745991019884544,2476.553766645851,1.588552768855581,-1.69,-17
2023-01-09,6600,DOCK HIGH STRAIGHT,1382.0,2910.01,TX,IN,44,2.105651230101303,3510.554580038772,2.540198683096072,0.43,5
2023-01-08,6644,TRACTOR,1643.0,8500.0,TORREÓN,IA,67,5.173463177115034,8208.745818751322,4.996193438071408,-0.18,-2
2023-01-11,11000,TRACTOR,2212.0,7500.0,GJ,MI,110,3.390596745027125,7175.478610359172,3.2438872560394088,-0.15,-2
2023-01-09,7950,TRACTOR,1576.0,4750.0,VA,TX,73,3.013959390862944,4410.745300468132,2.798696256642216,-0.22,-3
2023-01-09,2250,DOCK HIGH STRAIGHT,1169.0,2268.0,TX,IL,64,1.9401197604790417,2377.549721295206,2.033832096916344,0.09,1
2023-01-16,7600,TRACTOR,1739.0,4995.0,TX,MI,119,2.872340425531915,5135.466295739607,2.953114603645547,0.08,1
2023-01-07,2205,DOCK HIGH STRAIGHT,1339.0,2450.0,TN,TX,26,1.8297236743838683,3135.12204213128,2.3413906214572666,0.51,6
2023-01-07,4500,CUBE VAN,753.0,1520.0,TX,PU,20,2.01859229747676,1612.9594557221308,2.1420444299098684,0.12,2
2023-01-09,827,SPRINTER,1642.0,1600.0,MI,TX,72,0.97442143727162,1642.2690118418143,1.000163831815965,0.03,1
2023-01-09,2590,DOCK HIGH STRAIGHT,1620.0,3345.17,TX,MI,65,2.06491975308642,2875.434992067338,1.774959871646505,-0.29,-3
2023-01-09,65,CARGO VAN,1209.0,1426.88,TX,MI,71,1.180215053763441,1467.125601180218,1.213503392208617,0.03,1
2023-01-06,500,CARGO VAN,398.0,859.79,MI,KY,16,2.160276381909548,970.847714433564,2.4393158654109643,0.28,3
2023-01-13,11604,TRACTOR,716.0,3125.0,GA,MI,15,4.364525139664805,3374.7351649968223,4.713317269548634,0.35,4
2023-01-09,4000,TRACTOR,1543.0,4800.0,MI,TX,72,3.110823071937784,4081.058132470104,2.6448853742515257,-0.47,-5
2023-01-11,58,CARGO VAN,1872.0,3587.11,SL,IL,107,1.91619123931624,3362.312150066198,1.7961069177704048,-0.12,-2
2023-01-11,38,CARGO VAN,1962.0,3621.06,GJ,IL,113,1.8455963302752287,3472.772892318018,1.7700167646880824,-0.08,-1
2023-01-10,150,CARGO VAN,799.0,1380.82,MS,PA,22,1.7281852315394242,1516.9760920990088,1.8985933568197857,0.17,2
2023-01-11,7600,TRACTOR,1764.0,5307.43,AG,KY,109,3.00874716553288,7836.35964628633,4.442380751862999,1.43,15
2023-01-11,2100,DOCK HIGH STRAIGHT,1649.0,4062.62,TX,MI,47,2.463687083080655,3268.64119354375,1.982195993659036,-0.48,-5
2023-01-09,620,CARGO VAN,787.0,1105.3,RI,MI,64,1.4044472681067344,1286.3055437486073,1.634441605779679,0.23,3
2023-01-10,1560,CUBE VAN,1065.0,2850.0,TX,GA,87,2.676056338028169,2764.148930443628,2.595445005111387,-0.08,-1
2023-01-09,2638,SPRINTER,1683.0,1675.52,MI,TX,72,0.9955555555555556,1829.5332953211368,1.0870667233043,0.09,1
2023-01-09,2055,SPRINTER,1429.0,1552.0,TX,WI,60,1.086074177746676,2272.4971737019378,1.5902709403092636,0.5,6
2023-01-11,2120,DOCK HIGH STRAIGHT,1819.0,3100.0,CU,OH,111,1.7042330951072018,4739.454363367255,2.605527412516358,0.9,10
2023-01-11,2950,DOCK HIGH STRAIGHT,2298.0,4200.0,EM,MI,111,1.827676240208877,5435.11628237942,2.365150688589826,0.54,6
2023-01-09,2080,CUBE VAN,892.0,1840.0,TX,TN,42,2.062780269058296,2184.0418381705463,2.448477397052182,0.39,4
2023-01-07,1046,SPRINTER,1176.0,1528.63,FL,MI,28,1.2998554421768709,1686.704354237551,1.4342724100659443,0.13,2
2023-01-09,5000,DOCK HIGH STRAIGHT,1235.0,2270.0,KY,TX,45,1.838056680161944,2502.9970975244178,2.0267182975906217,0.19,2
2023-01-11,1290,DOCK HIGH STRAIGHT,1604.0,2700.0,TX,MI,36,1.6832917705735662,2546.524311382901,1.5876086729319832,-0.1,-2
2023-01-11,124,CARGO VAN,1643.0,2067.55,TX,MI,47,1.258399269628728,1954.2392459714624,1.1894335033301655,-0.07,-1
